titles,platforms,metascore,userscore,genre,date
Disney Castle of Illusion starring Mickey Mouse,PC,69,6.8,action,4-Sep-13
KickBeat,PlayStation Vita,67,7.3,action,3-Sep-13
Disney Castle of Illusion starring Mickey Mouse,PlayStation 3,72,7.3,action,3-Sep-13
868-HACK,iOS,84,6.3,action,30-Aug-13
Terraria,iOS,82,7.1,action,29-Aug-13
Junk Jack X,iOS,83,6.3,action,29-Aug-13
Lost Planet 3,Xbox 360,58,5.8,action,27-Aug-13
Lost Planet 3,PlayStation 3,61,5.8,action,27-Aug-13
The HD Adventures of Rotating Octopus Character,PlayStation Vita,66,6.9,action,27-Aug-13
Call of Duty: Black Ops II - Apocalypse,Xbox 360,70,5.7,action,27-Aug-13
Lost Planet 3,PC,61,6.2,action,26-Aug-13
The Bureau: XCOM Declassified,Xbox 360,68,6.9,action,20-Aug-13
The Bureau: XCOM Declassified,PlayStation 3,69,6.8,action,20-Aug-13
Divekick,PC,73,6.7,action,20-Aug-13
Divekick,PlayStation 3,65,6.9,action,20-Aug-13
Divekick,PlayStation Vita,70,7,action,20-Aug-13
The Bureau: XCOM Declassified,PC,66,6.5,action,19-Aug-13
Race the Sun,PC,79,7.3,action,19-Aug-13
War Thunder,PC,81,5.8,action,15-Aug-13
Charlie Murder,Xbox 360,78,7,action,14-Aug-13
Payday 2,PlayStation 3,74,6.2,action,13-Aug-13
Thunder Wolves,PlayStation 3,62,5.7,action,13-Aug-13
Payday 2,Xbox 360,75,6.3,action,13-Aug-13
DeadCore,PC,78,6.7,action,13-Aug-13
Hammerwatch,PC,72,7.4,action,12-Aug-13
Spelunky,PC,90,7.3,action,8-Aug-13
Guacamelee! Gold Edition,PC,88,7.3,action,8-Aug-13
Mikey Hooks,iOS,88,5,action,8-Aug-13
Superfrog HD,PlayStation 3,61,6.2,action,6-Aug-13
Superfrog HD,PlayStation Vita,55,7.4,action,6-Aug-13
Beatbuddy: Tale of the Guardians,PC,75,7.4,action,6-Aug-13
Cloudberry Kingdom,PC,67,7.4,action,2-Aug-13
Cloudberry Kingdom,Wii U,75,7.1,action,1-Aug-13
The Drowning,iOS,55,5,action,1-Aug-13
Pivvot,iOS,79,6.6,action,1-Aug-13
Bike Rider DX,3DS,71,7.3,action,1-Aug-13
Narco Terror,Xbox 360,50,5.9,action,31-Jul-13
Rise of the Triad,PC,67,6.6,action,31-Jul-13
Cloudberry Kingdom,Xbox 360,68,7,action,31-Jul-13
Narco Terror,PlayStation 3,55,5.2,action,30-Jul-13
Cloudberry Kingdom,PlayStation 3,75,6.2,action,30-Jul-13
BioShock Infinite: Clash in the Clouds,PC,69,6.5,action,30-Jul-13
BioShock Infinite: Clash in the Clouds,Xbox 360,68,6.7,action,30-Jul-13
Droidscape:Basilica,iOS,74,6.7,action,30-Jul-13
Zeno Clash II,Xbox 360,65,6.3,action,26-Jul-13
Prince of Persia: The Shadow and the Flame,iOS,63,5.6,action,25-Jul-13
Teleglitch: Die More Edition,PC,78,7,action,24-Jul-13
Mercenary Kings,PC,76,6.5,action,22-Jul-13
Halo: Spartan Assault,PC,70,6.3,action,18-Jul-13
Bloons TD Battles,iOS,78,6.7,action,18-Jul-13
Leisure Suit Larry: Reloaded,iOS,67,6.9,action,17-Jul-13
Metro: Last Light - Faction Pack,PC,60,6.7,action,16-Jul-13
Mamorukun Curse!,PlayStation 3,71,7.4,action,16-Jul-13
Kung Fu Rabbit,PlayStation Vita,72,6.6,action,16-Jul-13
Humans Must Answer,PC,55,5.3,action,11-Jul-13
Star Wars Pinball,Wii U,83,7.1,action,11-Jul-13
Tiny Thief,iOS,86,7.2,action,11-Jul-13
Bit.Trip Fate,PC,74,6.4,action,11-Jul-13
Bloody Harry,iOS,61,6.9,action,11-Jul-13
Dusty Revenge,PC,64,6.9,action,8-Jul-13
Iesabel,iOS,67,6.4,action,8-Jul-13
CAPSIZED,Xbox 360,74,7.2,action,5-Jul-13
World of Warplanes,PC,69,5.2,action,2-Jul-13
Crash City Mayhem,3DS,59,5.6,action,2-Jul-13
Spartacus Legends,PlayStation 3,50,6,action,25-Jun-13
Deadpool,Xbox 360,62,7.4,action,25-Jun-13
Deadpool,PlayStation 3,61,7.2,action,25-Jun-13
LEGO Legends of Chima: Laval's Journey,3DS,65,5.6,action,25-Jun-13
LEGO Legends of Chima: Laval's Journey,PlayStation Vita,64,6.5,action,25-Jun-13
Hero of Many,iOS,88,7.3,action,25-Jun-13
Joe Danger 2: The Movie,PC,82,7.3,action,24-Jun-13
Bugs vs. Tanks!,3DS,50,7,action,20-Jun-13
Magrunner: Dark Pulse,PC,70,7.2,action,20-Jun-13
Icebreaker: A Viking Voyage,iOS,87,6.3,action,20-Jun-13
Home - a Unique Horror Adventure,iOS,76,5.7,action,20-Jun-13
Dungeons & Dragons: Chronicles of Mystara,Xbox 360,77,5.9,action,19-Jun-13
Jak and Daxter Collection,PlayStation Vita,67,6.2,action,18-Jun-13
Dungeons & Dragons: Chronicles of Mystara,PlayStation 3,83,6.8,action,18-Jun-13
Dungeons & Dragons: Chronicles of Mystara,PC,80,6.9,action,18-Jun-13
Disney Epic Mickey 2: The Power of Two,PlayStation Vita,57,6.6,action,18-Jun-13
Mutant Mudds Deluxe,Wii U,84,7.3,action,13-Jun-13
Mighty Switch Force! 2,3DS,73,7.4,action,13-Jun-13
Despicable Me: Minion Rush,iOS,75,6.8,action,13-Jun-13
Tekken Revolution,PlayStation 3,70,6.4,action,11-Jun-13
Gangstar Vegas,iOS,61,7,action,7-Jun-13
Bridgy Jones,iOS,80,6.8,action,6-Jun-13
Total Domination - Reborn,iOS,70,6.4,action,6-Jun-13
Contra: Evolution,iOS,64,7.4,action,31-May-13
Warhammer Quest,iOS,79,5.6,action,30-May-13
Cubetractor,PC,75,7.1,action,29-May-13
Fuse,Xbox 360,62,5.7,action,28-May-13
Fuse,PlayStation 3,63,5.4,action,28-May-13
Dead Ahead,iOS,80,6.6,action,23-May-13
Quell Memento,iOS,83,6.2,action,23-May-13
Solstice Arena,iOS,83,5.4,action,23-May-13
Sniper Elite V2,Wii U,58,5.3,action,21-May-13
Men's Room Mayhem,PlayStation Vita,67,5.1,action,21-May-13
Loadout,PC,72,7.3,action,15-May-13
Thunder Wolves,PC,69,7.2,action,15-May-13
Dust 514,PlayStation 3,59,6.1,action,14-May-13
Mario and Donkey Kong: Minis on the Move,3DS,78,7.3,action,9-May-13
Blitz Brigade - Online multiplayer shooting action!,iOS,65,5.4,action,9-May-13
Dumb Ways to Die,iOS,70,7.1,action,7-May-13
Kung Fu Rabbit,Wii U,65,5.1,action,2-May-13
Star Command,iOS,76,5.8,action,2-May-13
Sorcery!,iOS,85,7.2,action,2-May-13
Fez,PC,91,6.7,action,1-May-13
Zeno Clash II,PC,61,7.4,action,30-Apr-13
Strike Suit Infinity,PC,66,7,action,30-Apr-13
Blade Symphony,PC,72,6.6,action,30-Apr-13
Zack Zero,PC,55,7.3,action,29-Apr-13
Robot Unicorn Attack 2,iOS,84,6.8,action,25-Apr-13
Talisman Prologue HD,iOS,76,6.5,action,25-Apr-13
Iron Man 3 - The Official Game,iOS,58,5.9,action,25-Apr-13
Dead Island: Riptide,Xbox 360,57,6.3,action,23-Apr-13
Dead Island: Riptide,PlayStation 3,62,6,action,23-Apr-13
God Mode,PlayStation 3,60,5.3,action,23-Apr-13
Thomas Was Alone,PlayStation Vita,78,6.8,action,23-Apr-13
Drunken Robot Pornography,PC,66,6.7,action,23-Apr-13
Thomas Was Alone,PlayStation 3,80,6.9,action,23-Apr-13
Guilty Gear XX Accent Core Plus R,PlayStation Vita,69,7,action,23-Apr-13
Draw Slasher,PlayStation Vita,69,6.4,action,23-Apr-13
Dead Island: Riptide,PC,61,6.1,action,22-Apr-13
God Mode,PC,58,6.8,action,19-Apr-13
God Mode,Xbox 360,58,6.3,action,19-Apr-13
Cut the Rope: Time Travel,iOS,84,6.2,action,18-Apr-13
Super Little Acorns 3D Turbo,3DS,77,7.2,action,18-Apr-13
Sacred Citadel,Xbox 360,63,6.3,action,17-Apr-13
Sacred Citadel,PlayStation 3,62,6.9,action,16-Apr-13
Sacred Citadel,PC,61,5.4,action,16-Apr-13
Call of Duty: Black Ops II - Uprising,Xbox 360,76,5,action,16-Apr-13
Dillon's Rolling Western: The Last Ranger,3DS,68,7,action,11-Apr-13
Dungeon Hunter 4,iOS,63,6.5,action,11-Apr-13
Gemini Rue,iOS,86,7,action,11-Apr-13
ShootMania Storm,PC,76,7.3,action,10-Apr-13
Cubemen 2,PC,68,6.8,action,8-Apr-13
BADLAND,iOS,85,7.2,action,4-Apr-13
Injustice: Gods Among Us,iOS,69,7.1,action,3-Apr-13
Defiance,PC,64,6.6,action,2-Apr-13
Defiance,PlayStation 3,59,6.8,action,2-Apr-13
Defiance,Xbox 360,60,7.2,action,2-Apr-13
Ninja Gaiden 3: Razor's Edge,PlayStation 3,67,7.1,action,2-Apr-13
Ninja Gaiden 3: Razor's Edge,Xbox 360,70,7.1,action,2-Apr-13
Nimble Quest,iOS,77,6,action,28-Mar-13
Tiny Troopers 2: Special Ops,iOS,82,6.8,action,28-Mar-13
Terraria,Xbox 360,81,7.2,action,27-Mar-13
Battlefield 3: End Game,PC,78,7.4,action,26-Mar-13
Army of Two: The Devil's Cartel,Xbox 360,54,6.2,action,26-Mar-13
Army of Two: The Devil's Cartel,PlayStation 3,58,6.7,action,26-Mar-13
Pressure,PC,64,6.8,action,26-Mar-13
ZEN Pinball 2,Wii U,71,7.3,action,21-Mar-13
Giana Sisters: Twisted Dreams,Xbox 360,69,7,action,20-Mar-13
Battlefield 3: End Game,PlayStation 3,86,6.5,action,19-Mar-13
Gears of War: Judgment,Xbox 360,79,5.7,action,19-Mar-13
Unmechanical,iOS,78,7.1,action,18-Mar-13
Ridiculous Fishing - A Tale of Redemption,iOS,91,6.8,action,14-Mar-13
Super Stickman Golf 2,iOS,87,7.2,action,14-Mar-13
Darkstalkers Resurrection,Xbox 360,82,6.6,action,13-Mar-13
Sniper: Ghost Warrior 2,Xbox 360,52,5.8,action,12-Mar-13
Sniper: Ghost Warrior 2,PlayStation 3,52,5.9,action,12-Mar-13
Darkstalkers Resurrection,PlayStation 3,80,7.4,action,12-Mar-13
Dead Space 3: Awakened,Xbox 360,50,5.1,action,12-Mar-13
Dead Space 3: Awakened,PlayStation 3,66,5.9,action,12-Mar-13
Sniper: Ghost Warrior 2,PC,52,5.9,action,11-Mar-13
Sonic Dash,iOS,69,7.4,action,7-Mar-13
The Showdown Effect,PC,67,7,action,5-Mar-13
The Amazing Spider-Man,Wii U,66,6.6,action,5-Mar-13
Naruto Powerful Shippuden,3DS,71,6,action,5-Mar-13
Temple Run: Oz,iOS,71,6.2,action,5-Mar-13
AVP: Evolution,iOS,59,6.5,action,28-Feb-13
Sniper Elite: Nazi Zombie Army,PC,62,7.3,action,28-Feb-13
Penumbear,iOS,85,6.8,action,28-Feb-13
King Cashing 2,iOS,85,5.5,action,28-Feb-13
Star Conflict,PC,75,7,action,27-Feb-13
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Xbox 360,87,7.4,action,27-Feb-13
Phantom Breaker: Battle Grounds,Xbox 360,72,7.2,action,27-Feb-13
Pinball FX 2: Star Wars Pinball,Xbox 360,87,6.4,action,27-Feb-13
Major Magnet,iOS,83,6.7,action,21-Feb-13
Serious Sam Double D XXL,Xbox 360,68,6,action,20-Feb-13
Crysis 3,Xbox 360,76,6.8,action,19-Feb-13
Crysis 3,PlayStation 3,77,6.5,action,19-Feb-13
Crysis 3,PC,76,6.7,action,19-Feb-13
A Valley Without Wind 2,PC,68,7,action,18-Feb-13
Rocketbirds: Hardboiled Chicken,PlayStation Vita,76,7.2,action,12-Feb-13
Alien Breed,PlayStation Vita,64,7.2,action,12-Feb-13
Special Forces: Team X,Xbox 360,57,6.8,action,6-Feb-13
Dead Space 3,PlayStation 3,76,6.5,action,5-Feb-13
Dead Space 3,Xbox 360,78,6.4,action,5-Feb-13
Dead Space 3,PC,78,6.1,action,5-Feb-13
Fist of the North Star: Ken's Rage 2,Xbox 360,55,7.1,action,5-Feb-13
Retrovirus,PC,70,6.7,action,31-Jan-13
Puddle,Wii U,70,7.2,action,31-Jan-13
Ikachan,3DS,71,7.2,action,31-Jan-13
Pixel People,iOS,79,6.9,action,31-Jan-13
Little Inferno,iOS,82,7,action,31-Jan-13
Call of Duty: Black Ops II - Revolution,Xbox 360,75,5.1,action,29-Jan-13
Syder Arcade HD,iOS,82,6.8,action,28-Jan-13
DmC: Devil May Cry,PC,85,7,action,24-Jan-13
Ace Combat Assault Horizon: Enhanced Edition,PC,77,5.9,action,24-Jan-13
Banana Kong,iOS,72,5.4,action,24-Jan-13
Mushroom Wars,iOS,73,5.7,action,24-Jan-13
Strike Suit Zero,PC,66,7.2,action,23-Jan-13
The Cave,Wii U,72,7.2,action,22-Jan-13
Temple Run 2,iOS,79,6.7,action,17-Jan-13
Heroes and Castles,iOS,82,6.8,action,17-Jan-13
DmC: Devil May Cry,PlayStation 3,85,5.6,action,15-Jan-13
DmC: Devil May Cry,Xbox 360,86,5.4,action,15-Jan-13
Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox 360,72,6.3,action,15-Jan-13
Borderlands 2: Sir Hammerlock's Big Game Hunt,PlayStation 3,71,6,action,15-Jan-13
Borderlands 2: Sir Hammerlock's Big Game Hunt,PC,75,6,action,15-Jan-13
Darkout,PC,55,6.8,action,14-Jan-13
Joe Danger,iOS,88,6.9,action,10-Jan-13
Time Surfer,iOS,82,6.5,action,9-Jan-13
Life of Pixel,PlayStation Vita,69,5.7,action,9-Jan-13
Haunt the House: Terrortown,PlayStation Vita,73,7.1,action,9-Jan-13
Hundreds,iOS,85,5.9,action,3-Jan-13
Actual Sunlight,PC,77,6.6,action,3-Jan-13
Fluidity: Spin Cycle,3DS,78,6.6,action,27-Dec-12
Paper Galaxy,iOS,71,7.2,action,20-Dec-12
Knytt Underground,PlayStation 3,73,6.1,action,18-Dec-12
Knytt Underground,PlayStation Vita,79,6.8,action,18-Dec-12
RAGE: The Scorchers,Xbox 360,83,6.2,action,18-Dec-12
Battle of the Bulge,iOS,85,7.2,action,13-Dec-12
Black Knight Sword,Xbox 360,65,7.3,action,12-Dec-12
A Walk in the Dark,PC,67,5.5,action,12-Dec-12
Pangolin,iOS,67,6.1,action,12-Dec-12
Black Knight Sword,PlayStation 3,66,6.2,action,11-Dec-12
Big Sky: Infinity,PlayStation Vita,71,5.2,action,11-Dec-12
Karateka,iOS,67,6.9,action,6-Dec-12
Modern Combat 4: Zero Hour,iOS,82,6.9,action,6-Dec-12
Mutant Mudds,iOS,84,6.1,action,6-Dec-12
Into the Dead,iOS,84,6.9,action,6-Dec-12
Minigore 2: Zombies,iOS,85,6.8,action,6-Dec-12
AirBuccaneers,PC,74,6.6,action,5-Dec-12
Guardians of Middle-Earth,PlayStation 3,75,7.3,action,4-Dec-12
Marvel Avengers: Battle for Earth,Wii U,50,5.2,action,4-Dec-12
Drox Operative,PC,74,7.1,action,29-Nov-12
Sky Gamblers: Storm Raiders,iOS,89,6.8,action,29-Nov-12
Miner Wars 2081,PC,52,5.9,action,28-Nov-12
Under Defeat HD,PlayStation 3,73,6.8,action,28-Nov-12
Virtua Fighter 2,Xbox 360,70,6.5,action,28-Nov-12
Warriors: Legends of Troy,Xbox 360,54,7,action,27-Nov-12
Ratchet & Clank: Full Frontal Assault,PlayStation 3,64,7.2,action,27-Nov-12
8BitBoy,PC,64,5.2,action,22-Nov-12
Sine Mora,PlayStation 3,83,7.4,action,20-Nov-12
PlanetSide 2,PC,84,7,action,20-Nov-12
PlayStation All-Stars Battle Royale,PlayStation 3,74,7.4,action,20-Nov-12
Sine Mora,PlayStation Vita,85,7.2,action,20-Nov-12
Borderlands 2: Mr. Torgue's Campaign of Carnage,PC,82,7.2,action,20-Nov-12
Disney Epic Mickey 2: The Power of Two,Wii,64,6.8,action,18-Nov-12
Disney Epic Mickey 2: The Power of Two,Xbox 360,59,6.1,action,18-Nov-12
Disney Epic Mickey: The Power of Illusion,3DS,63,5.9,action,18-Nov-12
Chasing Aurora,Wii U,64,6.9,action,18-Nov-12
SiNG Party,Wii U,60,5.5,action,18-Nov-12
Skylanders Giants,Wii U,80,6.2,action,18-Nov-12
Transformers Prime: The Game,Wii U,56,5.1,action,18-Nov-12
Nano Assault Neo,Wii U,71,7.4,action,18-Nov-12
Disney Epic Mickey 2: The Power of Two,Wii U,57,5.6,action,18-Nov-12
Call of Duty: Black Ops II,Wii U,81,6.9,action,18-Nov-12
Shadowgun: Deadzone,iOS,70,6.2,action,15-Nov-12
Micro Miners,iOS,85,6.5,action,15-Nov-12
Bloons TD 5,iOS,79,7.3,action,15-Nov-12
Sleepwalker's Journey,iOS,81,7,action,14-Nov-12
Alien Breed (PS Mobile),PlayStation Vita,68,5.8,action,14-Nov-12
Call of Duty: Black Ops II,PlayStation 3,83,5.7,action,13-Nov-12
Call of Duty: Black Ops II,Xbox 360,83,5.2,action,13-Nov-12
Rabbids Rumble,3DS,59,6.3,action,13-Nov-12
Ben 10: Omniverse,PlayStation 3,50,5.5,action,13-Nov-12
Sine Mora,PC,77,7.3,action,9-Nov-12
Angry Birds Star Wars,iOS,88,6.6,action,8-Nov-12
Karateka,Xbox 360,60,6.7,action,7-Nov-12
Sega Vintage Collection: ToeJam & Earl,Xbox 360,69,6.8,action,7-Nov-12
Halo 4,Xbox 360,87,7.1,action,6-Nov-12
Rayman Origins,3DS,71,6.3,action,6-Nov-12
When Vikings Attack!,PlayStation Vita,73,6.9,action,6-Nov-12
When Vikings Attack!,PlayStation 3,73,6.8,action,6-Nov-12
Cargo Commander,PC,63,6.7,action,1-Nov-12
ARC Squadron,iOS,87,6.7,action,1-Nov-12
2 Fast 4 Gnomz,3DS,65,7,action,1-Nov-12
Painkiller: Hell & Damnation,PC,64,6.5,action,31-Oct-12
Borderlands Legends,iOS,52,5,action,31-Oct-12
WWE '13,Wii,74,6.6,action,30-Oct-12
Marvel Avengers: Battle for Earth,Xbox 360,62,7.1,action,30-Oct-12
Deadlight,PC,78,7.4,action,25-Oct-12
Punch Quest,iOS,93,7,action,25-Oct-12
Incredipede,PC,74,6.7,action,25-Oct-12
Guilty Gear XX Accent Core Plus,Xbox 360,74,6.9,action,24-Oct-12
Medal of Honor: Warfighter,Xbox 360,53,5.4,action,23-Oct-12
Medal of Honor: Warfighter,PlayStation 3,55,6,action,23-Oct-12
Medal of Honor: Warfighter,PC,55,5.5,action,23-Oct-12
Orgarhythm,PlayStation Vita,62,6.8,action,23-Oct-12
Killzone HD,PlayStation 3,59,6.4,action,23-Oct-12
Skylanders Giants,Xbox 360,80,6.6,action,21-Oct-12
Skylanders Giants,Wii,78,7,action,21-Oct-12
Skylanders Giants,PlayStation 3,77,7,action,21-Oct-12
Stupid Zombies 2,iOS,77,6.2,action,18-Oct-12
Zombie Driver HD,Xbox 360,64,5.1,action,17-Oct-12
Ravaged,PC,64,6,action,17-Oct-12
DOOM 3 BFG Edition,Xbox 360,67,7.1,action,16-Oct-12
DOOM 3 BFG Edition,PlayStation 3,67,7,action,16-Oct-12
Borderlands 2: Captain Scarlett and Her Pirate's Booty,PC,80,7.3,action,16-Oct-12
DOOM 3: BFG Edition,PC,59,6,action,15-Oct-12
Rocketbirds: Hardboiled Chicken,PC,74,7.3,action,15-Oct-12
Happy Wars,Xbox 360,61,6.9,action,12-Oct-12
Joe Danger 2: The Movie,PlayStation 3,78,6,action,9-Oct-12
Just Dance 4,PlayStation 3,77,7.1,action,9-Oct-12
Pokemon Dream Radar,3DS,54,5.7,action,7-Oct-12
Hell Yeah! Wrath of the Dead Rabbit,PC,64,7.2,action,3-Oct-12
Fuel Tiracas,PlayStation Vita,82,5.9,action,3-Oct-12
War of the Roses,PC,73,5.8,action,2-Oct-12
Bad Piggies,iOS,83,6.9,action,27-Sep-12
Super Monsters Ate My Condo!,iOS,86,6.9,action,27-Sep-12
Angry Birds Trilogy,3DS,62,5,action,25-Sep-12
Jet Set Radio,PlayStation 3,75,7.2,action,18-Sep-12
Oozi: Earth Adventure,PC,66,6.9,action,16-Sep-12
Joe Danger 2: The Movie,Xbox 360,82,7.4,action,14-Sep-12
Apocalypse Max: Better Dead Than Undead,iOS,84,7.3,action,14-Sep-12
Double Dragon: Neon,Xbox 360,66,7.4,action,12-Sep-12
Battlefield 3: Armored Kill,PC,87,7.1,action,11-Sep-12
Double Dragon: Neon,PlayStation 3,71,7.2,action,11-Sep-12
Anomaly: Warzone Earth,PlayStation 3,78,7.1,action,11-Sep-12
Mark of the Ninja,Xbox 360,90,7.4,action,7-Sep-12
Wild Blood,iOS,70,6.1,action,6-Sep-12
Dogfight 1942,Xbox 360,59,5.5,action,5-Sep-12
Super Hexagon,iOS,86,7.4,action,31-Aug-12
Snapshot (2012),PC,74,7.2,action,30-Aug-12
Total War Battles: SHOGUN,PC,59,6.3,action,29-Aug-12
They Bleed Pixels,PC,74,7.4,action,29-Aug-12
Rock Band Blitz,PlayStation 3,78,6.1,action,28-Aug-12
Tiny Troopers,PC,57,5.5,action,24-Aug-12
One Tap Hero,iOS,84,6.2,action,23-Aug-12
Mikey Shorts,iOS,92,5.5,action,23-Aug-12
Counter-Strike: Global Offensive,Xbox 360,79,6.8,action,22-Aug-12
JoJo's Bizarre Adventure HD Ver.,Xbox 360,68,5.6,action,22-Aug-12
Retro/Grade,PlayStation 3,78,7,action,21-Aug-12
Counter-Strike: Global Offensive,PlayStation 3,80,7,action,21-Aug-12
Counter-Strike: Global Offensive,PC,83,7.3,action,21-Aug-12
JoJo's Bizarre Adventure HD Ver.,PlayStation 3,64,6,action,21-Aug-12
New Super Mario Bros. 2,3DS,78,7.2,action,19-Aug-12
Tom Clancy's Ghost Recon Phantoms,PC,70,6.4,action,15-Aug-12
Iron Brigade,PC,75,5.3,action,13-Aug-12
Organ Trail: Director's Cut,iOS,86,7,action,9-Aug-12
Hybrid,Xbox 360,73,7.3,action,8-Aug-12
Trigger Fist,iOS,84,6.9,action,8-Aug-12
Persona 4 Arena,PlayStation 3,86,5.7,action,7-Aug-12
A Virus Named TOM,PC,65,6.3,action,1-Aug-12
Bullet Run,PC,53,5,action,31-Jul-12
A Story About My Uncle,PC,73,7,action,30-Jul-12
Inversion,PC,59,6.7,action,26-Jul-12
Bucketz,iOS,83,6.7,action,26-Jul-12
Wreckateer,Xbox 360,67,5.5,action,25-Jul-12
Puddle,PlayStation Vita,77,5.5,action,24-Jul-12
Malicious,PlayStation 3,67,5.6,action,24-Jul-12
Wizorb,PSP,79,5.8,action,24-Jul-12
Kung Fu Strike: The Warrior's Rise,PC,63,7.2,action,24-Jul-12
Fieldrunners 2,iOS,88,7.2,action,19-Jul-12
Alien Breed,iOS,88,5.9,action,19-Jul-12
Heroes of Ruin,3DS,69,7.4,action,17-Jul-12
La-Mulana (Remake),PC,80,7.1,action,13-Jul-12
Tiny Wings HD,iOS,92,6.8,action,12-Jul-12
Zuma's Revenge!,Xbox 360,76,7,action,11-Jul-12
Frogger: Hyper Arcade Edition,PlayStation 3,62,7,action,10-Jul-12
Frogger: Hyper Arcade Edition,Xbox 360,55,7.1,action,6-Jul-12
Spelunky,Xbox 360,87,7.3,action,4-Jul-12
Dead Trigger,iOS,70,6.3,action,28-Jun-12
The Amazing Spider-Man,iOS,66,6,action,28-Jun-12
Nihilumbra,iOS,86,6.6,action,28-Jun-12
CSR Racing,iOS,67,6.5,action,28-Jun-12
Tom Clancy's Ghost Recon: Future Soldier,PC,71,5.2,action,26-Jun-12
The Amazing Spider-Man,Xbox 360,69,7.4,action,26-Jun-12
The Amazing Spider-Man,PlayStation 3,71,7.4,action,26-Jun-12
The Amazing Spider-Man,3DS,55,5.4,action,26-Jun-12
Battlefield 3: Close Quarters,Xbox 360,72,5.5,action,26-Jun-12
Battlefield 3: Close Quarters,PC,73,6.9,action,26-Jun-12
Order Up!!,3DS,72,6.5,action,21-Jun-12
Asphalt 7: Heat,iOS,83,6.9,action,21-Jun-12
Intrusion 2,PC,80,6.9,action,20-Jun-12
Battlefield 3: Close Quarters,PlayStation 3,73,6,action,19-Jun-12
Running with Rifles,PC,78,7.2,action,13-Jun-12
Lollipop Chainsaw,Xbox 360,70,7,action,12-Jun-12
Lollipop Chainsaw,PlayStation 3,67,7.2,action,12-Jun-12
PulzAR,PlayStation Vita,77,6.8,action,12-Jun-12
Tiny Troopers,iOS,81,6.4,action,7-Jun-12
Inversion,Xbox 360,53,6.5,action,5-Jun-12
Inversion,PlayStation 3,56,5.6,action,5-Jun-12
Virtua Fighter 5 Final Showdown,PlayStation 3,82,6.2,action,5-Jun-12
Resistance: Burning Skies,PlayStation Vita,60,6.8,action,29-May-12
Subway Surfers,iOS,71,6.9,action,24-May-12
Autumn Dynasty,iOS,85,6.8,action,24-May-12
Tom Clancy's Ghost Recon: Future Soldier,Xbox 360,79,7.3,action,22-May-12
Tom Clancy's Ghost Recon: Future Soldier,PlayStation 3,79,6.9,action,22-May-12
Men in Black 3,iOS,68,5.8,action,17-May-12
Sonic the Hedgehog 4: Episode II,iOS,66,7,action,17-May-12
Sonic the Hedgehog 4: Episode II,Xbox 360,61,6.7,action,16-May-12
Rock of Ages,PlayStation 3,68,7.2,action,15-May-12
Sonic the Hedgehog 4: Episode II,PlayStation 3,63,6.6,action,15-May-12
Battleship,Wii,54,5.1,action,15-May-12
PixelJunk 4am,PlayStation 3,63,6.4,action,15-May-12
Sonic the Hedgehog 4: Episode II,PC,54,6.8,action,15-May-12
Street Fighter X Tekken,PC,79,6.4,action,11-May-12
N.O.V.A. 3 - Near Orbit Vanguard Alliance,iOS,83,7.2,action,10-May-12
Nexuiz,PC,54,6.8,action,10-May-12
Dynamite Jack,iOS,82,6.6,action,10-May-12
Song Pop,iOS,65,6,action,4-May-12
Bird Mania 3D,3DS,51,6.3,action,3-May-12
The King of Fighters-i 2012,iOS,88,5.9,action,3-May-12
Sniper Elite V2,PlayStation 3,70,6.8,action,2-May-12
Sniper Elite V2,Xbox 360,67,6.6,action,2-May-12
Awesomenauts,PlayStation 3,75,7.4,action,1-May-12
Floating Cloud God Saves the Pilgrims,PSP,79,7,action,1-May-12
Sniper Elite V2,PC,66,6.6,action,30-Apr-12
Ski Safari,iOS,77,6.5,action,26-Apr-12
Marvel vs. Capcom 2,iOS,64,6.6,action,25-Apr-12
Blades of Time,PC,63,7.4,action,20-Apr-12
MacGuffin's Curse,PC,73,7.4,action,19-Apr-12
The House of the Dead 4,PlayStation 3,73,7.4,action,17-Apr-12
Insanely Twisted Shadow Planet,PC,76,7.2,action,17-Apr-12
Fez,Xbox 360,89,6.2,action,13-Apr-12
Skullgirls,Xbox 360,78,6.4,action,11-Apr-12
Skullgirls,PlayStation 3,82,7.1,action,10-Apr-12
The Pinball Arcade,PlayStation Vita,79,7.4,action,10-Apr-12
Syder Arcade,PC,76,6.6,action,9-Apr-12
Diabolical Pitch,Xbox 360,56,6.5,action,4-Apr-12
The Pinball Arcade,Xbox 360,82,6.8,action,4-Apr-12
Gunman Clive,iOS,81,6.5,action,3-Apr-12
Closure,PlayStation 3,81,7,action,27-Mar-12
Alien Chaos 3D,3DS,68,7.4,action,27-Mar-12
3D Classics: Kid Icarus,3DS,77,7.4,action,23-Mar-12
Angry Birds Space,iOS,83,6.6,action,22-Mar-12
Hunger Games: Girl on Fire,iOS,74,5.4,action,22-Mar-12
Sine Mora,Xbox 360,83,7.4,action,21-Mar-12
Rayman 3 HD,Xbox 360,69,7.3,action,21-Mar-12
Ninja Gaiden 3,PlayStation 3,58,5.1,action,20-Mar-12
Resident Evil: Operation Raccoon City,PlayStation 3,52,5,action,20-Mar-12
