titles,platforms,metascore,userscore,genre,date
Spelunky 2,PC,91,6.6,action,29-Sep-20
Until You Fall,PlayStation 4,85,7.3,action,29-Sep-20
Serious Sam 4,PC,68,7.1,action,24-Sep-20
Fight Crab,Switch,70,7.3,action,15-Sep-20
Jump Force: Deluxe Edition,Switch,50,7.3,action,28-Aug-20
Struggling,PC,65,7,action,27-Aug-20
Shing!,PlayStation 4,66,7.3,action,27-Aug-20
The Last Campfire,Switch,83,7.4,action,27-Aug-20
The Last Campfire,PlayStation 4,81,7.2,action,27-Aug-20
No Straight Roads,PlayStation 4,70,6.8,action,25-Aug-20
No Straight Roads,Switch,70,5.2,action,25-Aug-20
New Super Lucky's Tale,PlayStation 4,76,5.7,action,21-Aug-20
New Super Lucky's Tale,Xbox One,80,6.4,action,21-Aug-20
Battletoads,Xbox One,72,6.5,action,20-Aug-20
Battletoads,PC,66,5.2,action,20-Aug-20
Griefhelm,PC,57,6.8,action,20-Aug-20
Remnant: From the Ashes - Subject 2923,PC,78,5.3,action,20-Aug-20
Hyper Scape,PlayStation 4,62,5.1,action,11-Aug-20
West of Dead,PlayStation 4,63,6.2,action,5-Aug-20
Hellbound,PC,61,6.2,action,4-Aug-20
Pistol Whip,PlayStation 4,88,7.1,action,30-Jul-20
Fight Crab,PC,60,7.3,action,29-Jul-20
Cubicity,Switch,60,6.8,action,25-Jul-20
Tannenberg,Xbox One,72,6.3,action,24-Jul-20
Necrobarista,PC,81,6.1,action,22-Jul-20
Rock of Ages 3: Make & Break,PC,72,5.7,action,21-Jul-20
Rock of Ages 3: Make & Break,PlayStation 4,65,6.2,action,21-Jul-20
Panzer Paladin,Switch,77,6.5,action,21-Jul-20
"Warhammer 40,000: Mechanicus",PlayStation 4,67,6.9,action,17-Jul-20
"Warhammer 40,000: Mechanicus",Switch,72,6.4,action,17-Jul-20
SUPERHOT: MIND CONTROL DELETE,PC,78,6.5,action,16-Jul-20
Radical Rabbit Stew,PlayStation 4,70,6.6,action,16-Jul-20
Waifu Uncovered,Switch,58,7,action,16-Jul-20
SUPERHOT: MIND CONTROL DELETE,PlayStation 4,77,6.5,action,16-Jul-20
SUPERHOT: MIND CONTROL DELETE,Xbox One,82,5.2,action,16-Jul-20
Neon Abyss,PC,74,6.2,action,14-Jul-20
Rocket Arena,PC,73,5,action,14-Jul-20
Neon Abyss,PlayStation 4,80,7.4,action,14-Jul-20
Neon Abyss,Switch,79,5.7,action,14-Jul-20
Neon Abyss,Xbox One,81,6.7,action,14-Jul-20
Marvel's Iron Man VR,PlayStation 4,73,6.2,action,3-Jul-20
Borderlands 3: Bounty of Blood,PC,77,5.6,action,25-Jun-20
Ninjala,Switch,68,6.6,action,24-Jun-20
West of Dead,Xbox One,73,6.8,action,18-Jun-20
West of Dead,PC,69,6.1,action,18-Jun-20
Disintegration,Xbox One,67,6,action,16-Jun-20
Disintegration,PC,62,5.9,action,15-Jun-20
Project Warlock,Xbox One,79,6.1,action,12-Jun-20
Samurai Shodown,PC,76,6.1,action,11-Jun-20
Valorant,PC,80,5,action,2-Jun-20
Skelattack,PlayStation 4,65,6.5,action,2-Jun-20
Skelattack,Switch,60,6.4,action,2-Jun-20
Atomicrops,PC,78,7.4,action,28-May-20
Shantae and the Seven Sirens,Switch,79,6.5,action,28-May-20
Shantae and the Seven Sirens,PlayStation 4,71,5.7,action,28-May-20
Shantae and the Seven Sirens,PC,80,6.1,action,28-May-20
Shantae and the Seven Sirens,Xbox One,75,5.1,action,28-May-20
Mortal Kombat 11: Aftermath,PlayStation 4,75,6.2,action,26-May-20
Mortal Kombat 11: Aftermath,Xbox One,79,6.7,action,26-May-20
The Wonderful 101: Remastered,Switch,72,6.6,action,19-May-20
The Wonderful 101: Remastered,PC,85,6.3,action,19-May-20
The Wonderful 101: Remastered,PlayStation 4,76,6.4,action,19-May-20
GORN,PlayStation 4,68,5,action,19-May-20
Ion Fury,PlayStation 4,75,6.8,action,14-May-20
Ion Fury,Xbox One,70,6.7,action,14-May-20
Ion Fury,Switch,77,7.4,action,14-May-20
Huntdown,Xbox One,87,5.6,action,12-May-20
Fury Unleashed,PC,79,6.7,action,8-May-20
Fury Unleashed,PlayStation 4,78,6.6,action,8-May-20
Fury Unleashed,Xbox One,80,5,action,8-May-20
Void Bastards,Switch,78,6.4,action,7-May-20
World War Z Game of the Year Edition,PlayStation 4,68,5.3,action,5-May-20
Call of Duty: Modern Warfare 2 Campaign Remastered,PC,71,7.4,action,30-Apr-20
Dread Nautical,PlayStation 4,73,5,action,29-Apr-20
Moving Out,PC,79,7.4,action,28-Apr-20
Sakura Wars,PlayStation 4,73,7.3,action,28-Apr-20
Moving Out,Switch,77,7,action,28-Apr-20
Moving Out,Xbox One,78,6.9,action,28-Apr-20
Remnant: From the Ashes - Swamps of Corsus,PC,81,7.1,action,28-Apr-20
Predator: Hunting Grounds,PlayStation 4,56,6.1,action,24-Apr-20
Predator: Hunting Grounds,PC,62,5,action,24-Apr-20
HyperParasite,Xbox One,74,7.1,action,3-Apr-20
HyperParasite,PlayStation 4,67,6.8,action,3-Apr-20
My Friend Pedro,PlayStation 4,71,7.2,action,2-Apr-20
Totally Reliable Delivery Service,Xbox One,63,6.2,action,1-Apr-20
Zombie Army Trilogy,Switch,70,6.8,action,31-Mar-20
Call of Duty: Modern Warfare 2 Campaign Remastered,PlayStation 4,71,7.3,action,31-Mar-20
Lost Words: Beyond the Page,Stadia,78,7,action,27-Mar-20
Star Wars Jedi Knight: Jedi Academy,PlayStation 4,68,5.1,action,26-Mar-20
Panzer Dragoon,Switch,63,7.4,action,26-Mar-20
Star Wars Jedi Knight: Jedi Academy,Switch,68,5.4,action,26-Mar-20
"Borderlands 3: Guns, Love, and Tentacles",PC,72,6.1,action,26-Mar-20
Bleeding Edge,Xbox One,66,6.2,action,24-Mar-20
Bleeding Edge,PC,62,5.2,action,24-Mar-20
Twin Breaker: A Sacred Symbols Adventure,PlayStation 4,69,7.4,action,24-Mar-20
Dogurai,Switch,71,6.7,action,24-Mar-20
DOOM 64,PlayStation 4,75,7.1,action,20-Mar-20
DOOM 64,Xbox One,77,7.1,action,20-Mar-20
Exit the Gungeon,PC,67,6.6,action,17-Mar-20
Exit the Gungeon,Switch,69,7,action,17-Mar-20
Stela,PC,68,5.9,action,13-Mar-20
My Hero One's Justice 2,PC,68,5.7,action,13-Mar-20
My Hero One's Justice 2,Switch,65,6.3,action,13-Mar-20
My Hero One's Justice 2,Xbox One,65,5.3,action,13-Mar-20
Stela,Switch,63,5.8,action,13-Mar-20
Ibb & Obb,Switch,78,6.8,action,5-Mar-20
Granblue Fantasy: Versus,PlayStation 4,78,6.5,action,3-Mar-20
Bloodroots,PC,76,6.3,action,28-Feb-20
Bloodroots,PlayStation 4,81,6.4,action,28-Feb-20
Bloodroots,Switch,75,7.4,action,28-Feb-20
Samurai Shodown,Switch,75,7.4,action,25-Feb-20
Space Channel 5 VR: Kinda Funky News Flash,PlayStation 4,54,6.3,action,25-Feb-20
Sayonara Wild Hearts,Xbox One,85,6.9,action,25-Feb-20
Under Night In-Birth Exe:Late[cl-r],PlayStation 4,80,6.4,action,20-Feb-20
Hunt: Showdown,PlayStation 4,81,7,action,18-Feb-20
Hunt: Showdown,Xbox One,76,6.6,action,18-Feb-20
Warriors Orochi 4 Ultimate,Switch,70,6.8,action,14-Feb-20
Warriors Orochi 4 Ultimate,PlayStation 4,70,5.8,action,14-Feb-20
Street Fighter V: Champion Edition,PlayStation 4,82,6,action,14-Feb-20
Underhero,Xbox One,81,6.8,action,14-Feb-20
Shadowgun War Games,iOS,64,6,action,14-Feb-20
Azur Lane: Crosswave,PlayStation 4,56,6.3,action,13-Feb-20
The Turing Test,Switch,77,5.7,action,7-Feb-20
7th Sector,PlayStation 4,76,6.5,action,5-Feb-20
7th Sector,Xbox One,76,6.8,action,5-Feb-20
Zombie Army 4: Dead War,PlayStation 4,72,6.3,action,4-Feb-20
Zombie Army 4: Dead War,Xbox One,77,5.8,action,4-Feb-20
Patapon 2 Remastered,PlayStation 4,75,7,action,30-Jan-20
Effie,PC,70,6.3,action,28-Jan-20
EarthNight,PlayStation 4,79,6.8,action,23-Jan-20
198X,Switch,65,7,action,23-Jan-20
SpeedRunners,Switch,71,7.2,action,23-Jan-20
"Warhammer 40,000: Space Wolf",Switch,55,7.1,action,23-Jan-20
HARDCORE MECHA,PlayStation 4,77,6.8,action,14-Jan-20
Darwin Project,PC,74,6.8,action,13-Jan-20
Borderlands 3: Moxxi's Heist of the Handsome Jackpot,Xbox One,82,7,action,19-Dec-19
Borderlands 3: Moxxi's Heist of the Handsome Jackpot,PC,75,5.9,action,19-Dec-19
Wattam,PlayStation 4,72,6.5,action,17-Dec-19
Budget Cuts 2: Mission Insolvency,PC,74,7.3,action,12-Dec-19
AVICII Invector,PlayStation 4,80,6.9,action,10-Dec-19
Shovel Knight Showdown,Switch,75,7.3,action,10-Dec-19
My Friend Pedro,Xbox One,76,7.2,action,5-Dec-19
EarthNight,Switch,70,7.2,action,3-Dec-19
Fight'N Rage,PlayStation 4,83,7.2,action,3-Dec-19
Halo: Reach Remastered,PC,81,7.3,action,3-Dec-19
Cuisine Royale,PlayStation 4,73,7.1,action,3-Dec-19
Asterix & Obelix XXL 3: The Crystal Menhir,Xbox One,52,5.4,action,28-Nov-19
Asterix & Obelix XXL 3: The Crystal Menhir,PlayStation 4,59,5.2,action,28-Nov-19
Sniper Ghost Warrior Contracts,Xbox One,67,6,action,22-Nov-19
Sniper Ghost Warrior Contracts,PlayStation 4,65,6.2,action,22-Nov-19
Sniper Ghost Warrior Contracts,PC,71,6.6,action,22-Nov-19
Black Future '88,PC,74,7.1,action,21-Nov-19
Bubble Bobble 4 Friends,Switch,68,6.6,action,19-Nov-19
The Curious Tale of the Stolen Pets,PlayStation 4,79,7.1,action,19-Nov-19
Golem,PlayStation 4,59,6.8,action,15-Nov-19
Last Labyrinth,PlayStation 4,64,7,action,13-Nov-19
Death Stranding,PlayStation 4,82,7.3,action,8-Nov-19
The Stretchers,Switch,75,7.3,action,8-Nov-19
Ritual: Crown of Horns,Switch,58,7.3,action,7-Nov-19
Just Dance 2020,Switch,74,6.3,action,5-Nov-19
Just Dance 2020,PlayStation 4,77,5.2,action,5-Nov-19
Valfaris,PlayStation 4,80,6.9,action,5-Nov-19
Dusk Diver,Switch,54,7.4,action,29-Oct-19
Dusk Diver,PlayStation 4,64,7.2,action,29-Oct-19
Xeno Crisis,Switch,74,7.3,action,28-Oct-19
Cat Quest II,PlayStation 4,78,7,action,24-Oct-19
Door Kickers: Action Squad,PlayStation 4,78,6.8,action,24-Oct-19
Tangle Tower,PC,74,5,action,22-Oct-19
Plants vs. Zombies: Battle for Neighborville,PlayStation 4,77,5.6,action,18-Oct-19
Plants vs. Zombies: Battle for Neighborville,Xbox One,76,5.5,action,18-Oct-19
Monkey King: Hero is Back,PlayStation 4,61,6.4,action,17-Oct-19
Stela,Xbox One,73,6.6,action,17-Oct-19
The Ninja Saviors: Return of the Warriors,PlayStation 4,75,6.4,action,15-Oct-19
Overwatch,Switch,73,6.2,action,15-Oct-19
Trine 4: The Nightmare Prince,Xbox One,80,7,action,8-Oct-19
Trine 4: The Nightmare Prince,PlayStation 4,80,7.2,action,8-Oct-19
BurgerTime Party!,Switch,70,6,action,8-Oct-19
Yooka-Laylee and the Impossible Lair,PlayStation 4,82,7,action,8-Oct-19
Yooka-Laylee and the Impossible Lair,Xbox One,84,6.4,action,8-Oct-19
Yooka-Laylee and the Impossible Lair,PC,81,6.3,action,8-Oct-19
Ghostbusters: The Video Game Remastered,PlayStation 4,66,7,action,4-Oct-19
Ghostbusters: The Video Game Remastered,Xbox One,68,6.4,action,4-Oct-19
Ghostbusters: The Video Game Remastered,Switch,73,6.7,action,4-Oct-19
Carly and the Reaperman - Escape from the Underworld,PlayStation 4,75,7,action,2-Oct-19
Sniper Elite III: Ultimate Edition,Switch,73,6.2,action,1-Oct-19
Destiny 2: Shadowkeep,PC,78,5.6,action,1-Oct-19
Destiny 2: Shadowkeep,Xbox One,73,6.9,action,1-Oct-19
Destiny 2: Shadowkeep,PlayStation 4,73,5.6,action,1-Oct-19
